"","Practice","Pres_Count_Allergies","Pres_Count_Asthma","Pres_Count_Diabetes"
"2062","E82024",105,33,83
"2063","E82025",67,28,76
"2064","E82027",58,18,68
"2065","E82028",36,14,54
"2066","E82031",92,27,73
"2067","E82032",93,28,79
"2068","E82034",55,16,57
"2069","E82035",84,28,69
"2070","E82037",91,25,69
"2071","E82038",54,23,64
"2072","E82039",66,30,69
"2073","E82040",108,38,96
"2074","E82041",75,25,71
"2075","E82042",69,26,75
"2076","E82043",70,28,87
"2077","E82044",98,31,69
"2078","E82045",45,20,68
"2079","E82046",74,31,67
"2080","E82048",51,22,60
"2081","E82049",36,17,43
"2082","E82050",23,13,42
"2083","E82051",100,31,77
"2084","E82053",45,22,49
"2085","E82054",54,16,73
"2086","E82055",85,26,73
"2087","E82056",53,33,65
"2088","E82057",40,15,53
"2089","E82058",61,24,66
"2090","E82059",44,20,59
"2091","E82060",74,29,67
"2092","E82061",86,24,78
"2093","E82062",86,31,81
"2094","E82063",71,27,77
"2095","E82064",54,25,51
"2096","E82066",15,7,32
"2097","E82067",94,41,78
"2098","E82068",63,28,67
"2099","E82069",35,10,42
"2100","E82070",21,22,35
"2101","E82071",75,31,63
"2102","E82072",55,28,78
"2103","E82073",76,21,69
"2104","E82074",108,27,92
"2105","E82075",93,30,73
"2106","E82076",55,17,46
"2107","E82077",61,19,60
"2108","E82078",73,26,62
"2109","E82079",53,25,73
"2110","E82080",75,27,69
"2111","E82081",62,22,92
"2112","E82082",90,32,83
"2113","E82083",71,31,71
"2114","E82084",86,20,75
"2115","E82085",98,28,87
"2116","E82086",110,43,90
"2117","E82088",50,25,74
"2118","E82089",86,28,72
"2119","E82090",72,18,71
"2120","E82091",69,31,72
"2121","E82092",97,28,72
"2122","E82093",74,34,86
"2123","E82094",54,21,42
"2124","E82095",61,27,63
"2125","E82096",48,26,60
"2126","E82098",68,29,55
"2127","E82099",83,28,76
"2128","E82100",80,28,83
"2129","E82102",58,24,79
"2130","E82104",49,23,44
"2131","E82105",29,21,47
"2132","E82106",59,14,53
"2133","E82107",82,29,57
"2134","E82109",51,24,59
"2135","E82111",36,23,49
"2136","E82113",25,20,41
"2137","E82115",78,24,86
"2138","E82117",61,24,72
"2139","E82121",37,18,63
"2140","E82123",73,29,84
"2141","E82124",70,35,81
"2142","E82126",24,13,45
"2143","E82129",58,21,56
"2144","E82130",51,19,56
"2145","E82131",18,19,34
"2146","E82132",60,20,64
"2147","E82133",41,22,61
"2148","E82603",16,11,26
"2149","E82613",33,8,44
"2150","E82620",5,4,1
"2151","E82624",18,15,50
"2152","E82626",17,19,35
"2153","E82627",22,11,41
"2154","E82630",27,14,43
"2155","E82638",40,23,47
"2156","E82640",31,24,39
"2157","E82641",51,24,68
"2158","E82643",24,8,32
"2159","E82644",27,12,27
"2160","E82652",16,14,34
"2161","E82654",44,18,49
"2162","E82655",42,17,41
"2163","E82656",14,11,28
"2164","E82657",47,17,45
"2165","E82658",24,17,36
"2166","E82661",51,31,62
"2167","E82663",31,17,51
"2168","E82667",27,1,3
"2169","E83003",67,23,67
"2170","E83005",53,15,58
"2171","E83006",37,25,61
"2172","E83007",51,16,60
"2173","E83008",37,27,53
"2174","E83009",52,20,67
"2175","E83010",56,20,75
"2176","E83011",42,20,65
"2177","E83012",43,30,66
"2178","E83013",28,13,53
"2179","E83016",65,32,79
"2180","E83017",81,28,78
"2181","E83018",78,28,85
"2182","E83020",48,11,55
"2183","E83021",57,29,71
"2184","E83024",64,19,72
"2185","E83025",59,20,58
"2186","E83026",31,19,54
"2187","E83027",77,21,64
"2188","E83028",26,18,58
"2189","E83030",37,20,73
"2190","E83031",28,18,53
"2191","E83032",104,30,98
"2192","E83034",45,25,59
"2193","E83035",69,17,99
"2194","E83036",31,17,55
"2195","E83037",48,22,47
"2196","E83038",63,20,79
"2197","E83039",61,13,51
"2198","E83041",33,14,55
"2199","E83042",42,17,41
"2200","E83044",35,18,62
"2201","E83045",52,22,61
"2202","E83046",35,21,65
"2203","E83049",37,20,60
"2204","E83050",31,19,59
"2205","E83053",79,23,72
"2206","E83600",58,10,46
"2207","E83613",18,13,46
"2208","E83621",43,18,62
"2209","E83622",34,14,59
"2210","E83624",20,10,34
"2211","E83629",30,11,52
"2212","E83631",16,8,27
"2213","E83632",29,16,45
"2214","E83633",21,13,52
"2215","E83637",37,12,57
"2216","E83638",30,14,55
"2217","E83639",19,12,54
"2218","E83644",9,8,44
"2219","E83645",1,1,1
"2220","E83649",41,7,34
"2221","E83650",10,11,33
"2222","E83653",41,24,70
"2223","E83654",19,7,49
"2224","E83656",15,6,26
"2225","E83657",14,6,30
"2226","E83658",20,10,43
"2227","E83665",1,1,1
"2228","E83666",0,0,0
"2229","E83668",32,9,47
"2230","E84002",34,9,48
"2231","E84003",20,16,53
"2232","E84004",43,25,69
"2233","E84005",39,21,72
"2234","E84006",59,19,88
"2235","E84007",39,19,59
"2236","E84008",54,23,71
"2237","E84009",94,27,84
"2238","E84011",23,17,35
"2239","E84012",41,15,58
"2240","E84013",47,20,71
"2241","E84014",49,19,70
"2242","E84015",65,26,65
"2243","E84017",71,19,78
"2244","E84018",33,13,67
"2245","E84020",20,8,39
"2246","E84021",34,21,81
"2247","E84022",32,20,55
"2248","E84023",20,9,39
"2249","E84024",100,32,98
"2250","E84025",45,22,62
"2251","E84026",22,9,43
"2252","E84028",28,14,54
"2253","E84029",22,10,33
"2254","E84030",34,17,68
"2255","E84031",50,16,65
"2256","E84032",50,19,64
"2257","E84033",53,14,57
"2258","E84036",40,19,78
"2259","E84039",56,29,91
"2260","E84040",23,15,58
"2261","E84042",44,17,57
"2262","E84044",63,21,68
"2263","E84048",51,20,67
"2264","E84049",32,14,45
"2265","E84051",35,20,72
"2266","E84053",39,16,56
"2267","E84056",26,10,39
"2268","E84057",87,18,90
"2269","E84058",62,29,84
"2270","E84059",38,14,57
"2271","E84061",61,28,76
"2272","E84062",23,12,51
"2273","E84063",16,9,59
"2274","E84064",0,0,4
"2275","E84066",18,9,58
"2276","E84067",30,13,47
"2277","E84068",94,30,98
"2278","E84069",57,25,89
"2279","E84070",33,11,46
"2280","E84074",25,11,62
"2281","E84075",15,5,43
"2282","E84076",46,17,56
"2283","E84077",29,9,27
"2284","E84078",50,15,61
"2285","E84080",42,18,60
"2286","E84083",23,15,55
"2287","E84084",41,15,53
"2288","E84086",35,9,56
"2289","E84601",36,15,58
"2290","E84617",33,19,53
"2291","E84620",34,11,40
"2292","E84624",15,4,46
"2293","E84626",26,8,44
"2294","E84635",47,14,52
"2295","E84637",16,6,22
"2296","E84638",23,12,48
"2297","E84645",31,11,40
"2298","E84646",17,9,44
"2299","E84647",22,17,53
"2300","E84653",21,11,43
"2301","E84656",19,9,52
"2302","E84657",18,17,42
"2303","E84658",59,24,56
"2304","E84663",30,9,61
"2305","E84665",39,16,66
"2306","E84667",15,6,37
"2307","E84669",12,4,33
"2308","E84674",23,13,59
"2309","E84676",21,14,51
"2310","E84678",13,9,41
"2311","E84680",22,10,43
"2312","E84681",16,7,49
"2313","E84684",29,10,39
"2314","E84685",53,19,70
"2315","E84690",22,6,46
"2316","E84693",64,19,63
"2317","E84696",15,8,33
"2318","E84699",18,8,47
"2319","E84701",28,8,41
"2320","E84702",20,14,42
"2321","E84704",13,7,44
"2322","E84705",22,6,36
"2323","E84706",17,7,28
"2324","E84707",0,0,0
"2325","E84708",17,5,41
"2326","E84709",60,16,71
"2327","E84713",33,20,50
"2328","E85001",33,21,59
"2329","E85003",54,27,67
"2330","E85004",29,20,50
"2331","E85005",16,17,42
"2332","E85006",22,20,58
"2333","E85007",62,20,66
"2334","E85008",37,14,52
"2335","E85012",19,26,63
"2336","E85013",14,7,31
"2337","E85014",20,12,41
"2338","E85015",36,15,57
"2339","E85016",40,28,53
"2340","E85018",25,7,39
"2341","E85019",51,20,56
"2342","E85020",53,19,70
"2343","E85021",39,19,60
"2344","E85023",24,14,57
"2345","E85024",38,22,41
"2346","E85025",29,18,45
"2347","E85026",57,21,65
"2348","E85028",49,29,61
"2349","E85029",46,34,81
"2350","E85030",41,19,51
"2351","E85032",31,14,43
"2352","E85033",34,18,52
"2353","E85034",33,20,63
"2354","E85035",37,16,58
"2355","E85038",30,13,47
"2356","E85040",52,19,70
"2357","E85041",36,19,39
"2358","E85042",32,11,50
"2359","E85044",15,7,61
"2360","E85045",30,16,46
"2361","E85046",26,17,63
"2362","E85048",44,21,48
"2363","E85049",29,14,62
"2364","E85050",67,15,58
"2365","E85051",44,21,55
"2366","E85052",31,21,61
"2367","E85053",27,19,42
"2368","E85054",52,25,68
"2369","E85055",32,19,54
"2370","E85056",33,18,76
"2371","E85057",49,15,47
"2372","E85058",53,18,72
"2373","E85059",31,17,72
"2374","E85060",32,19,50
"2375","E85061",21,15,48
"2376","E85062",37,17,72
"2377","E85064",28,22,54
"2378","E85066",9,15,27
"2379","E85069",28,15,51
"2380","E85071",18,8,48
"2381","E85074",15,7,39
"2382","E85075",19,10,47
"2383","E85077",25,6,40
"2384","E85083",25,14,46
"2385","E85088",21,12,38
"2386","E85090",47,19,60
"2387","E85091",7,3,27
"2388","E85096",51,21,56
"2389","E85098",21,12,42
"2390","E85099",13,7,31
"2391","E85103",17,19,52
"2392","E85105",12,13,34
"2393","E85107",43,16,58
"2394","E85108",22,16,61
"2395","E85109",16,9,31
"2396","E85110",18,13,42
"2397","E85111",16,5,42
"2398","E85112",35,12,48
"2399","E85113",32,14,52
"2400","E85114",71,18,64
"2401","E85115",41,14,41
"2402","E85116",44,18,46
"2403","E85117",17,12,45
"2404","E85118",31,17,55
"2405","E85119",21,18,63
"2406","E85120",42,23,56
"2407","E85121",50,24,69
"2408","E85122",44,21,66
"2409","E85123",24,9,39
"2410","E85124",18,13,40
"2411","E85125",34,11,46
"2412","E85126",59,24,77
"2413","E85127",26,22,49
"2414","E85128",47,20,43
"2415","E85129",24,16,46
"2416","E85130",20,14,32
"2417","E85600",46,13,51
"2418","E85605",49,22,48
"2419","E85617",7,9,29
"2420","E85623",8,9,27
"2421","E85624",36,17,66
"2422","E85625",19,10,42
"2423","E85628",45,13,46
"2424","E85630",11,12,28
"2425","E85633",33,12,65
"2426","E85635",20,13,50
"2427","E85636",53,21,64
"2428","E85640",24,15,38
"2429","E85643",24,20,66
"2430","E85649",10,7,31
"2431","E85656",37,17,59
"2432","E85657",26,17,35
"2433","E85658",25,13,45
"2434","E85659",16,7,29
"2435","E85663",39,23,76
"2436","E85672",9,10,22
"2437","E85673",15,15,34
"2438","E85677",17,10,37
"2439","E85680",32,13,45
"2440","E85681",39,20,63
"2441","E85682",40,15,61
"2442","E85683",17,12,41
"2443","E85685",42,13,49
"2444","E85686",13,10,32
"2445","E85687",6,5,15
"2446","E85692",58,15,53
"2447","E85693",33,19,53
"2448","E85694",19,11,44
"2449","E85696",41,14,59
"2450","E85697",31,21,62
"2451","E85699",27,17,44
"2452","E85700",22,12,44
"2453","E85705",3,5,10
"2454","E85707",45,20,60
"2455","E85708",19,15,43
"2456","E85712",32,12,51
"2457","E85713",17,10,42
"2458","E85714",21,8,38
"2459","E85715",22,16,40
"2460","E85716",57,13,70
"2461","E85718",27,11,42
"2462","E85719",20,16,48
"2463","E85721",9,3,20
"2464","E85723",19,13,55
"2465","E85725",31,18,49
"2466","E85726",18,11,31
"2467","E85727",42,9,56
"2468","E85728",11,12,23
"2469","E85732",17,14,43
"2470","E85733",13,9,35
"2471","E85734",26,13,42
"2472","E85735",32,16,37
"2473","E85736",37,19,57
"2474","E85739",32,14,65
"2475","E85740",19,8,30
"2476","E85743",15,14,47
"2477","E85744",53,17,66
"2478","E85745",25,17,64
"2479","E85746",14,9,37
"2480","E85748",29,10,55
"2481","E85750",75,18,69
"2482","E85755",13,14,40
"2483","E86001",78,24,67
"2484","E86003",26,16,58
"2485","E86004",46,23,64
"2486","E86005",75,25,63
"2487","E86006",42,23,54
"2488","E86007",69,30,66
"2489","E86009",39,20,61
"2490","E86010",52,20,61
"2491","E86011",45,12,47
"2492","E86012",47,26,71
"2493","E86014",38,14,54
"2494","E86015",84,33,78
"2495","E86016",39,20,56
"2496","E86017",37,28,98
"2497","E86018",51,33,86
"2498","E86019",57,26,78
"2499","E86020",24,16,53
"2500","E86022",36,14,55
"2501","E86024",30,15,55
"2502","E86026",45,21,52
"2503","E86027",54,28,68
"2504","E86028",72,16,63
"2505","E86029",61,17,79
"2506","E86030",16,14,38
"2507","E86033",37,15,60
"2508","E86034",12,7,32
"2509","E86036",43,24,69
"2510","E86038",27,19,64
"2511","E86041",41,21,63
"2512","E86042",36,17,61
"2513","E86605",19,15,36
"2514","E86609",27,8,48
"2515","E86610",23,11,43
"2516","E86612",22,9,53
"2517","E86615",13,13,47
"2518","E86618",50,17,55
"2519","E86619",23,6,39
"2520","E86620",42,11,51
"2521","E86625",23,15,52
"2522","E86626",22,18,55
"2523","E86629",30,13,47
"2524","E86632",46,19,55
"2525","E86637",33,18,54
"2526","E86640",27,14,38
"2527","E87002",58,27,68
"2528","E87003",22,18,46
"2529","E87004",49,20,59
"2530","E87005",34,18,52
"2531","E87006",26,11,47
"2532","E87007",15,12,24
"2533","E87008",54,23,66
"2534","E87009",29,13,42
"2535","E87010",31,11,44
"2536","E87011",48,24,55
"2537","E87013",38,17,59
"2538","E87016",23,10,37
"2539","E87017",14,8,31
"2540","E87021",27,16,35
"2541","E87024",37,14,55
"2542","E87026",36,19,45
"2543","E87029",34,13,51
"2544","E87034",58,20,70
"2545","E87037",26,16,57
"2546","E87038",26,20,51
"2547","E87043",27,13,39
"2548","E87045",19,6,27
"2549","E87046",33,17,44
"2550","E87047",21,22,66
"2551","E87048",7,7,22
"2552","E87050",16,13,31
"2553","E87052",25,15,37
"2554","E87057",20,10,40
"2555","E87061",32,16,41
"2556","E87063",37,12,57
"2557","E87065",29,10,47
"2558","E87066",34,22,60
"2559","E87067",44,24,61
"2560","E87069",15,11,20
"2561","E87070",21,7,38
"2562","E87071",25,11,28
"2563","E87609",39,21,55
"2564","E87637",51,21,64
"2565","E87648",17,3,44
"2566","E87649",19,8,32
"2567","E87663",12,10,38
"2568","E87665",19,14,38
"2569","E87677",29,8,23
"2570","E87681",50,16,61
"2571","E87682",24,28,63
"2572","E87691",1,1,2
"2573","E87694",3,2,3
"2574","E87701",35,14,61
"2575","E87702",9,6,16
"2576","E87706",31,21,37
"2577","E87711",7,16,31
"2578","E87714",31,18,35
"2579","E87715",33,13,37
"2580","E87720",20,10,43
"2581","E87722",16,11,35
"2582","E87727",1,0,0
"2583","E87733",22,18,49
"2584","E87735",11,4,21
"2585","E87737",15,11,41
"2586","E87738",30,22,46
"2587","E87739",40,19,59
"2588","E87740",24,7,18
"2589","E87741",28,5,37
"2590","E87742",12,12,32
"2591","E87745",31,12,45
"2592","E87746",12,9,28
"2593","E87750",15,12,53
"2594","E87751",19,9,37
"2595","E87753",44,11,27
"2596","E87754",32,11,41
"2597","E87755",12,6,27
"2598","E87756",41,19,53
"2599","E87762",28,13,31
"2600","E87768",21,2,18
"2601","E87772",5,5,14
"2602","E87774",2,0,0
"2603","F81001",79,34,86
"2604","F81003",25,21,47
"2605","F81004",51,22,64
"2606","F81006",46,34,72
"2607","F81007",77,38,70
"2608","F81009",61,29,83
"2609","F81010",87,42,98
"2610","F81011",31,24,69
"2611","F81012",39,26,65
"2612","F81013",76,27,70
"2613","F81014",52,38,86
"2614","F81015",90,32,78
"2615","F81016",37,23,68
"2616","F81017",69,33,79
"2617","F81018",39,32,72
"2618","F81019",61,53,99
"2619","F81020",36,20,67
"2620","F81021",52,31,72
"2621","F81022",48,32,86
"2622","F81023",71,33,83
"2623","F81024",30,22,44
"2624","F81025",41,28,68
"2625","F81026",50,37,78
"2626","F81027",84,32,94
"2627","F81028",36,21,62
"2628","F81029",40,25,63
"2629","F81030",58,34,99
"2630","F81031",34,26,59
"2631","F81032",31,24,56
"2632","F81033",0,0,0
"2633","F81034",52,31,57
"2634","F81035",44,29,75
"2635","F81036",72,33,91
"2636","F81037",72,45,82
"2637","F81038",76,34,86
"2638","F81040",24,22,42
"2639","F81041",57,28,73
"2640","F81042",92,42,93
"2641","F81043",95,37,102
"2642","F81044",38,31,52
"2643","F81045",26,12,37
"2644","F81046",58,28,59
"2645","F81047",71,29,71
"2646","F81048",83,25,83
"2647","F81049",70,30,73
"2648","F81051",41,41,75
"2649","F81052",87,48,104
"2650","F81053",80,28,73
"2651","F81055",76,32,73
"2652","F81056",56,26,59
"2653","F81057",48,29,69
"2654","F81060",48,21,65
"2655","F81061",61,35,65
"2656","F81062",68,25,69
"2657","F81065",40,18,53
"2658","F81066",55,25,57
"2659","F81067",88,38,85
"2660","F81068",84,41,89
"2661","F81069",59,27,65
"2662","F81070",42,30,66
"2663","F81071",52,34,75
"2664","F81072",44,32,65
"2665","F81073",42,23,56
"2666","F81074",46,29,65
"2667","F81075",79,43,94
"2668","F81076",27,25,57
"2669","F81078",53,18,65
"2670","F81079",56,38,78
"2671","F81080",79,32,64
"2672","F81081",75,49,97
"2673","F81082",45,25,59
"2674","F81083",53,24,58
"2675","F81084",66,29,63
"2676","F81085",83,34,74
"2677","F81086",52,33,65
"2678","F81087",57,29,100
"2679","F81088",23,27,45
"2680","F81089",69,39,82
"2681","F81090",81,25,64
"2682","F81091",67,28,71
"2683","F81092",20,14,44
"2684","F81094",78,32,78
"2685","F81095",55,35,74
"2686","F81096",82,40,74
"2687","F81097",57,38,88
"2688","F81098",24,25,50
"2689","F81099",72,41,85
"2690","F81100",79,41,84
"2691","F81101",52,21,56
"2692","F81102",42,24,68
"2693","F81104",59,36,82
"2694","F81105",52,30,98
"2695","F81106",76,31,77
"2696","F81108",62,35,78
"2697","F81109",41,21,51
"2698","F81110",26,22,54
"2699","F81111",40,13,53
"2700","F81112",60,27,59
"2701","F81113",72,29,85
"2702","F81114",48,40,78
"2703","F81115",67,30,78
"2704","F81116",90,35,79
"2705","F81117",48,26,77
"2706","F81118",84,35,69
"2707","F81119",51,29,61
"2708","F81120",95,40,79
"2709","F81121",38,22,59
"2710","F81122",38,22,67
"2711","F81123",80,39,86
"2712","F81125",72,35,90
"2713","F81126",37,29,74
"2714","F81127",43,25,61
"2715","F81128",83,35,90
"2716","F81130",31,22,59
"2717","F81131",69,18,64
"2718","F81132",54,39,81
"2719","F81133",48,35,97
"2720","F81134",51,33,89
"2721","F81136",57,30,74
"2722","F81137",49,27,71
"2723","F81138",23,14,52
"2724","F81141",28,25,52
"2725","F81142",42,30,51
"2726","F81144",72,44,81
"2727","F81147",43,30,56
"2728","F81149",58,36,81
"2729","F81150",39,25,59
"2730","F81151",68,36,76
"2731","F81152",70,25,42
"2732","F81153",82,34,85
"2733","F81155",46,27,58
"2734","F81156",65,35,73
"2735","F81157",33,32,75
"2736","F81158",28,32,56
"2737","F81159",44,23,61
"2738","F81162",0,0,0
"2739","F81163",35,23,60
"2740","F81164",56,37,84
"2741","F81165",54,22,45
"2742","F81168",33,26,53
"2743","F81169",60,14,59
"2744","F81170",27,17,47
"2745","F81173",52,31,71
"2746","F81176",23,21,43
"2747","F81177",41,20,60
"2748","F81181",90,39,75
"2749","F81183",24,27,57
"2750","F81184",22,21,44
"2751","F81185",45,18,54
"2752","F81186",34,24,61
"2753","F81192",53,26,57
"2754","F81193",32,31,64
"2755","F81195",23,12,46
"2756","F81197",11,18,45
"2757","F81198",26,21,56
"2758","F81200",29,15,46
"2759","F81205",45,29,67
"2760","F81206",44,34,76
"2761","F81207",18,9,27
"2762","F81209",28,19,32
"2763","F81211",35,23,63
"2764","F81212",57,42,77
"2765","F81213",46,27,69
"2766","F81214",32,29,63
"2767","F81215",46,23,59
"2768","F81216",49,11,49
"2769","F81218",15,18,33
"2770","F81219",33,22,53
"2771","F81221",30,27,62
"2772","F81222",35,14,65
"2773","F81223",22,16,48
"2774","F81606",23,22,57
"2775","F81608",47,21,63
"2776","F81613",52,32,71
"2777","F81618",48,23,52
"2778","F81619",32,16,51
"2779","F81622",32,22,49
"2780","F81623",24,12,42
"2781","F81632",49,31,55
"2782","F81633",28,17,43
"2783","F81635",18,13,41
"2784","F81636",80,31,73
"2785","F81639",10,10,20
"2786","F81640",16,16,68
"2787","F81641",46,25,53
"2788","F81644",15,20,33
"2789","F81645",25,28,60
"2790","F81648",10,10,28
"2791","F81649",41,28,52
"2792","F81651",25,11,47
"2793","F81652",14,15,44
"2794","F81656",28,23,44
"2795","F81661",0,0,0
"2796","F81665",21,9,43
"2797","F81666",19,24,52
"2798","F81669",29,15,58
"2799","F81670",25,32,63
"2800","F81672",23,20,56
"2801","F81674",19,13,46
"2802","F81675",33,19,48
"2803","F81679",57,23,60
"2804","F81681",57,43,74
"2805","F81683",44,27,59
"2806","F81684",48,22,49
"2807","F81688",22,20,33
"2808","F81690",32,23,42
"2809","F81691",34,22,71
"2810","F81695",14,13,41
"2811","F81696",20,17,35
"2812","F81697",37,24,68
"2813","F81698",23,22,50
"2814","F81700",30,21,50
"2815","F81704",17,20,50
"2816","F81707",22,21,45
"2817","F81708",34,18,58
"2818","F81711",17,13,38
"2819","F81713",20,16,34
"2820","F81716",45,29,69
"2821","F81718",13,12,24
"2822","F81719",0,0,0
"2823","F81720",1,1,0
"2824","F81721",28,23,61
"2825","F81724",36,18,36
"2826","F81725",62,20,55
"2827","F81728",19,16,44
"2828","F81729",35,17,52
"2829","F81730",24,21,49
"2830","F81732",43,15,40
"2831","F81733",26,17,37
"2832","F81737",14,13,29
"2833","F81738",21,10,37
"2834","F81739",38,28,64
"2835","F81740",24,18,30
"2836","F81741",51,40,72
"2837","F81742",24,20,37
"2838","F81743",70,32,80
"2839","F81744",16,20,41
"2840","F81746",22,13,38
"2841","F81749",71,31,67
"2842","F81751",36,29,43
"2843","F81755",9,8,10
"2844","F81756",6,7,6
"2845","F81757",29,26,51
"2846","F81758",31,19,50
"2847","F82001",35,25,60
"2848","F82002",40,24,43
"2849","F82003",30,21,62
"2850","F82004",65,37,86
"2851","F82005",32,26,55
"2852","F82006",75,33,78
"2853","F82007",60,33,72
"2854","F82008",94,37,82
"2855","F82009",93,39,71
"2856","F82010",41,26,54
"2857","F82011",67,39,78
"2858","F82012",31,26,49
"2859","F82013",66,36,72
"2860","F82014",57,29,66
"2861","F82015",45,33,61
"2862","F82016",44,33,60
"2863","F82017",51,35,76
"2864","F82018",62,41,107
"2865","F82019",38,33,80
"2866","F82020",35,15,42
"2867","F82021",67,28,55
"2868","F82022",72,38,69
"2869","F82023",36,15,41
"2870","F82025",39,26,42
"2871","F82027",23,15,41
"2872","F82028",44,28,50
"2873","F82030",90,40,83
"2874","F82031",32,30,60
"2875","F82033",33,21,37
"2876","F82034",22,12,37
"2877","F82038",58,44,75
"2878","F82039",29,23,49
"2879","F82040",32,17,34
"2880","F82042",52,29,74
"2881","F82045",28,13,32
"2882","F82051",59,39,63
"2883","F82053",33,17,49
"2884","F82055",31,17,40
"2885","F82604",38,21,46
"2886","F82607",33,25,64
"2887","F82609",23,16,37
"2888","F82610",26,18,53
"2889","F82612",36,26,53
"2890","F82614",20,16,44
"2891","F82619",13,6,30
"2892","F82621",27,28,46
"2893","F82624",58,24,37
"2894","F82625",42,18,58
"2895","F82627",35,30,59
"2896","F82630",46,26,53
"2897","F82634",28,21,46
"2898","F82638",26,35,52
"2899","F82639",14,9,22
"2900","F82641",21,9,31
"2901","F82642",32,23,42
"2902","F82643",19,12,29
"2903","F82646",60,28,57
"2904","F82647",27,11,60
"2905","F82648",24,24,50
"2906","F82649",48,35,59
"2907","F82650",35,17,67
"2908","F82653",24,11,31
"2909","F82660",72,33,89
"2910","F82661",27,15,46
"2911","F82663",23,16,42
"2912","F82665",24,11,43
"2913","F82666",27,21,37
"2914","F82668",33,25,41
"2915","F82670",21,15,29
"2916","F82671",39,23,52
"2917","F82674",41,25,47
"2918","F82675",35,21,41
"2919","F82676",42,20,57
"2920","F82677",34,18,55
"2921","F82678",16,20,36
"2922","F82679",40,21,49
"2923","F82680",40,23,52
"2924","F82686",21,14,49
"2925","F83002",46,20,72
"2926","F83003",33,16,46
"2927","F83004",55,19,53
"2928","F83005",17,13,31
"2929","F83006",38,27,63
"2930","F83007",35,20,50
"2931","F83008",74,26,73
"2932","F83010",66,19,68
"2933","F83011",30,14,39
"2934","F83012",52,18,57
"2935","F83015",56,22,71
"2936","F83017",64,25,63
"2937","F83018",51,16,59
"2938","F83019",83,16,53
"2939","F83020",40,29,53
"2940","F83021",52,21,69
"2941","F83022",46,24,68
"2942","F83023",107,24,91
"2943","F83025",41,16,52
"2944","F83027",34,16,58
"2945","F83030",18,12,37
"2946","F83032",43,22,52
"2947","F83033",31,11,56
"2948","F83034",17,16,34
"2949","F83039",33,12,50
"2950","F83042",24,14,49
"2951","F83043",13,5,25
"2952","F83044",14,7,37
"2953","F83045",60,17,55
"2954","F83048",33,19,41
"2955","F83050",23,6,36
"2956","F83051",32,9,31
"2957","F83052",34,11,35
"2958","F83053",44,15,50
"2959","F83055",60,11,51
"2960","F83056",9,4,8
"2961","F83057",41,16,38
"2962","F83058",29,10,53
"2963","F83059",53,26,72
"2964","F83060",61,21,60
"2965","F83061",21,9,29
"2966","F83063",55,15,62
"2967","F83064",28,16,56
"2968","F83615",30,9,43
"2969","F83623",49,14,42
"2970","F83624",31,17,48
"2971","F83632",29,14,51
"2972","F83633",11,5,23
"2973","F83635",21,19,41
"2974","F83648",33,18,51
"2975","F83652",53,19,49
"2976","F83658",33,14,28
"2977","F83660",60,19,59
"2978","F83664",37,17,57
"2979","F83665",45,14,47
"2980","F83666",27,15,61
"2981","F83671",28,10,39
"2982","F83672",13,6,22
"2983","F83673",32,10,47
"2984","F83674",32,6,32
"2985","F83676",2,1,0
"2986","F83677",12,8,25
"2987","F83678",19,16,36
"2988","F83680",25,11,36
"2989","F83681",27,17,35
"2990","F83682",16,4,22
"2991","F83683",28,17,37
"2992","F83686",33,20,48
"2993","F84003",44,23,67
"2994","F84004",62,33,92
"2995","F84006",68,26,82
"2996","F84008",65,23,51
"2997","F84009",56,21,81
"2998","F84010",48,22,68
"2999","F84012",37,21,54
"3000","F84013",44,14,55
"3001","F84014",34,19,77
"3002","F84015",41,20,69
"3003","F84016",41,26,58
"3004","F84017",60,36,63
"3005","F84018",47,17,61
"3006","F84021",51,18,50
"3007","F84022",47,23,60
"3008","F84025",16,10,31
"3009","F84030",18,5,25
"3010","F84031",44,23,63
"3011","F84032",6,2,14
"3012","F84033",43,17,56
"3013","F84034",60,30,63
"3014","F84035",13,13,40
"3015","F84036",39,15,50
"3016","F84038",20,15,43
"3017","F84039",44,15,52
"3018","F84041",31,33,71
"3019","F84043",30,21,50
"3020","F84044",36,14,43
"3021","F84046",18,6,23
"3022","F84047",33,37,81
"3023","F84050",49,27,79
"3024","F84051",17,16,33
"3025","F84052",46,31,61
"3026","F84053",27,26,69
"3027","F84054",44,24,57
"3028","F84055",20,9,27
"3029","F84060",35,13,46
"3030","F84062",49,25,59
"3031","F84063",27,17,48
"3032","F84069",53,34,66
"3033","F84070",33,17,66
"3034","F84072",34,14,51
"3035","F84074",51,29,80
"3036","F84077",30,25,61
"3037","F84079",31,17,47
"3038","F84080",30,17,46
"3039","F84081",53,21,54
"3040","F84083",48,20,49
"3041","F84086",54,20,61
"3042","F84087",69,28,76
"3043","F84088",32,16,61
"3044","F84089",21,11,32
"3045","F84091",34,18,47
"3046","F84092",22,12,56
"3047","F84093",52,25,73
"3048","F84096",59,27,62
"3049","F84097",60,27,83
"3050","F84105",52,17,65
"3051","F84111",35,18,69
"3052","F84114",24,11,48
"3053","F84115",44,15,55
"3054","F84117",43,23,58
"3055","F84118",24,16,49
"3056","F84119",63,17,53
"3057","F84121",59,28,83
